Title                                                                                                                                                                                                                                                                   | Journal                                         | Year | Dataset source
Identification of the novel candidate genes and variants in boar liver tissues with divergent skatole levels using RNA deep sequencing.                                                                                                                                 | PLoS One                                        | 2013 | All           
Transcriptome profile at different physiological stages reveals potential mode for curly fleece in Chinese tan sheep.                                                                                                                                                   | PLoS One                                        | 2013 | All           
A divergent Artiodactyl MYADM-like repeat is associated with erythrocyte traits and weight of lamb weaned in domestic sheep.                                                                                                                                            | PLoS One                                        | 2013 | All           
Discovery of cashmere goat (Capra hircus) microRNAs in skin and hair follicles by Solexa sequencing.                                                                                                                                                                    | BMC Genomics                                    | 2013 | All           
Transcriptome sequencing reveals differences between primary and secondary hair follicle-derived dermal papilla cells of the Cashmere goat (Capra hircus).                                                                                                              | PLoS One                                        | 2013 | All           
A new strategy for gene targeting and functional proteomics using the DT40 cell line.                                                                                                                                                                                   | Nucleic Acids Res                               | 2013 | All           
In search of epigenetic marks in testes and sperm cells of differentially fed boars.                                                                                                                                                                                    | PLoS One                                        | 2013 | All           
Intrinsic features in microRNA transcriptomes link porcine visceral rather than subcutaneous adipose tissues to metabolic risk.                                                                                                                                         | PLoS One                                        | 2013 | All           
MicroRNA transcriptome in swine small intestine during weaning stress.                                                                                                                                                                                                  | PLoS One                                        | 2013 | All           
Distinct global shifts in genomic binding profiles of limb malformation-associated HOXD13 mutations.                                                                                                                                                                    | Genome Res                                      | 2013 | All           
RNA sequencing of the exercise transcriptome in equine athletes.                                                                                                                                                                                                        | PLoS One                                        | 2013 | All           
Analysis of porcine adipose tissue transcriptome reveals differences in de novo fatty acid synthesis in pigs with divergent muscle fatty acid composition.                                                                                                              | BMC Genomics                                    | 2013 | All           
Genome-wide analysis of DNA methylation in bovine placentas.                                                                                                                                                                                                            | BMC Genomics                                    | 2014 | All           
Expression variants of the lipogenic AGPAT6 gene affect diverse milk composition phenotypes in Bos taurus.                                                                                                                                                              | PLoS One                                        | 2014 | All           
Analysis of the mRNA targetome of microRNAs expressed by Marek's disease virus.                                                                                                                                                                                         | mBio                                            | 2014 | All           
Transcriptome analysis reveals novel players in the cranial neural crest gene regulatory network.                                                                                                                                                                       | Genome Res                                      | 2014 | All           
Specific gene-regulation networks during the pre-implantation development of the pig embryo as revealed by deep sequencing.                                                                                                                                             | BMC Genomics                                    | 2014 | All           
The transcriptome of utricle hair cell regeneration in the avian inner ear.                                                                                                                                                                                             | J Neurosci                                      | 2014 | All           
Extracellular vesicles in luminal fluid of the ovine uterus.                                                                                                                                                                                                            | PLoS One                                        | 2014 | All           
Identification of genes regulating growth and fatness traits in pig through hypothalamic transcriptome analysis.                                                                                                                                                        | Physiol Genomics                                | 2014 | All           
Characterisation and comparison of lactating mouse and bovine mammary gland miRNomes.                                                                                                                                                                                   | PLoS One                                        | 2014 | All           
Investigation of de novo unique differentially expressed genes related to evolution in exercise response during domestication in Thoroughbred race horses.                                                                                                              | PLoS One                                        | 2014 | All           
Transcriptome-wide investigation of genomic imprinting in chicken.                                                                                                                                                                                                      | Nucleic Acids Res                               | 2014 | All           
Transcriptome analysis of alternative splicing events regulated by SRSF10 reveals position-dependent splicing modulation.                                                                                                                                               | Nucleic Acids Res                               | 2014 | All           
Deletion in the EVC2 gene causes chondrodysplastic dwarfism in Tyrolean Grey cattle.                                                                                                                                                                                    | PLoS One                                        | 2014 | All           
Long-read sequencing of chicken transcripts and identification of new transcript isoforms.                                                                                                                                                                              | PLoS One                                        | 2014 | All           
The draft genomes of soft-shell turtle and green sea turtle yield insights into the development and evolution of the turtle-specific body plan.                                                                                                                         | Nat Genet                                       | 2013 | All           
Identification and profiling of microRNAs and their target genes from developing caprine skeletal Muscle.                                                                                                                                                               | PLoS One                                        | 2014 | All           
Analysis of horse genomes provides insight into the diversification and adaptive evolution of karyotype.                                                                                                                                                                | Sci Rep                                         | 2014 | All           
The miRNAome of the postpartum dairy cow liver in negative energy balance.                                                                                                                                                                                              | BMC Genomics                                    | 2014 | All           
Transcriptome microRNA profiling of bovine mammary epithelial cells challenged with Escherichia coli or Staphylococcus aureus bacteria reveals pathogen directed microRNA expression profiles.                                                                          | BMC Genomics                                    | 2014 | All           
Condensin I associates with structural and gene regulatory regions in vertebrate chromosomes.                                                                                                                                                                           | Nat Commun                                      | 2013 | All           
Digital gene-expression profiling analysis of the cholesterol-lowering effects of alfalfa saponin extract on laying hens.                                                                                                                                               | PLoS One                                        | 2014 | All           
Deleted copy number variation of Hanwoo and Holstein using next generation sequencing at the population level.                                                                                                                                                          | BMC Genomics                                    | 2014 | All           
Differences in muscle transcriptome among pigs phenotypically extreme for fatty acid composition.                                                                                                                                                                       | PLoS One                                        | 2014 | All           
Fed state prior to hemorrhagic shock and polytrauma in a porcine model results in altered liver transcriptomic response.                                                                                                                                                | PLoS One                                        | 2014 | All           
RNA-Seq analysis implicates detoxification pathways in ovine mycotoxin resistance.                                                                                                                                                                                      | PLoS One                                        | 2014 | All           
MicroRNA regulation of bovine monocyte inflammatory and metabolic networks in an in vivo infection model.                                                                                                                                                               | G3 (Bethesda)                                   | 2014 | All           
Identification of large intergenic non-coding RNAs in bovine muscle using next-generation transcriptomic sequencing.                                                                                                                                                    | BMC Genomics                                    | 2014 | All           
Deciphering the genetic blueprint behind Holstein milk proteins and production.                                                                                                                                                                                         | Genome Biol Evol                                | 2014 | All           
Genome-wide DNA methylation patterns and transcription analysis in sheep muscle.                                                                                                                                                                                        | PLoS One                                        | 2014 | All           
Next generation sequencing gives an insight into the characteristics of highly selected breeds versus non-breed horses in the course of domestication.                                                                                                                  | BMC Genomics                                    | 2014 | All           
The liver transcriptome of two full-sibling Songliao black pigs with extreme differences in backfat thickness.                                                                                                                                                          | J Anim Sci Biotechnol                           | 2014 | All           
Structured RNAs and synteny regions in the pig genome.                                                                                                                                                                                                                  | BMC Genomics                                    | 2014 | All           
Age-associated changes in bovine oocytes and granulosa cell complexes collected from early antral follicles.                                                                                                                                                            | J Assist Reprod Genet                           | 2014 | All           
Differentiation state-specific mitochondrial dynamic regulatory networks are revealed by global transcriptional analysis of the developing chicken lens.                                                                                                                | G3 (Bethesda)                                   | 2014 | All           
Genome-wide characterization of insertion and deletion variation in chicken using next generation sequencing.                                                                                                                                                           | PLoS One                                        | 2014 | All           
Mammalian Y chromosomes retain widely expressed dosage-sensitive regulators.                                                                                                                                                                                            | Nature                                          | 2014 | All           
The clustering of CpG islands may constitute an important determinant of the 3D organization of interphase chromosomes.                                                                                                                                                 | Epigenetics                                     | 2014 | All           
RNA-seq Transcriptional Profiling of Peripheral Blood Leukocytes from Cattle Infected with Mycobacterium bovis.                                                                                                                                                         | Front Immunol                                   | 2014 | All           
Copy number deletion has little impact on gene expression levels in racehorses.                                                                                                                                                                                         | Asian-Australas J Anim Sci                      | 2014 | All           
Genome resequencing and bioinformatic analysis of SNP containing candidate genes in the autoimmune vitiligo Smyth line chicken model.                                                                                                                                   | BMC Genomics                                    | 2014 | All           
Marked methylation changes in intestinal genes during the perinatal period of preterm neonates.                                                                                                                                                                         | BMC Genomics                                    | 2014 | All           
The expression pattern of microRNAs in granulosa cells of subordinate and dominant follicles during the early luteal phase of the bovine estrous cycle.                                                                                                                 | PLoS One                                        | 2014 | All           
The sheep genome illuminates biology of the rumen and lipid metabolism.                                                                                                                                                                                                 | Science                                         | 2014 | All           
Optimization of extraction of circulating RNAs from plasma--enabling small RNA sequencing.                                                                                                                                                                              | PLoS One                                        | 2014 | All           
Argonaute high-throughput sequencing of RNAs isolated by cross-linking immunoprecipitation reveals a snapshot of miRNA gene regulation in the mammalian retina.                                                                                                         | Biochemistry                                    | 2014 | All           
Dysregulation of genome-wide gene expression and DNA methylation in abnormal cloned piglets.                                                                                                                                                                            | BMC Genomics                                    | 2014 | All           
Congenital hepatic fibrosis in the Franches-Montagnes horse is associated with the polycystic kidney and hepatic disease 1 (PKHD1) gene.                                                                                                                                | PLoS One                                        | 2014 | All           
The cellular and molecular etiology of the craniofacial defects in the avian ciliopathic mutant talpid2.                                                                                                                                                                | Development                                     | 2014 | All           
Genomic organization, transcriptomic analysis, and functional characterization of avian α- and β-keratins in diverse feather forms.                                                                                                                                     | Genome Biol Evol                                | 2014 | All           
Looking the cow in the eye: deletion in the NID1 gene is associated with recessive inherited cataract in Romagnola cattle.                                                                                                                                              | PLoS One                                        | 2014 | All           
A novel gain-of-function mutation of the proneural IRX1 and IRX2 genes disrupts axis elongation in the Araucana rumpless chicken.                                                                                                                                       | PLoS One                                        | 2014 | All           
The genome of the chicken DT40 bursal lymphoma cell line.                                                                                                                                                                                                               | G3 (Bethesda)                                   | 2014 | All           
Genome-wide patterns of copy number variation in the diversified chicken genomes using next-generation sequencing.                                                                                                                                                      | BMC Genomics                                    | 2014 | All           
Characterization of Sus scrofa small non-coding RNAs present in both female and male gonads.                                                                                                                                                                            | PLoS One                                        | 2014 | All           
Temporal transcriptome analysis of the chicken embryo yolk sac.                                                                                                                                                                                                         | BMC Genomics                                    | 2014 | All           
Impact of the genetic background on the composition of the chicken plasma MiRNome in response to a stress.                                                                                                                                                              | PLoS One                                        | 2014 | All           
Vertebrate Hedgehog is secreted on two types of extracellular vesicles with different signaling properties.                                                                                                                                                             | Sci Rep                                         | 2014 | All           
Uncovering genomic features and maternal origin of korean native chicken by whole genome sequencing.                                                                                                                                                                    | PLoS One                                        | 2014 | All           
Low frequency of paleoviral infiltration across the  avian phylogeny.                                                                                                                                                                                                   | Genome Biol                                     | 2014 | All           
A computational algorithm to predict shRNA potency.                                                                                                                                                                                                                     | Mol Cell                                        | 2014 | All           
Paging through history: parchment as a reservoir of ancient DNA for next generation sequencing.                                                                                                                                                                         | Philos Trans R Soc Lond B Biol Sci              | 2015 | All           
Prehistoric genomes reveal the genetic foundation and cost of horse domestication.                                                                                                                                                                                      | Proc Natl Acad Sci U S A                        | 2014 | All           
Functionally reciprocal mutations of the prolactin signalling pathway define hairy and slick cattle.                                                                                                                                                                    | Nat Commun                                      | 2014 | All           
A 2.5-kilobase deletion containing a cluster of nine microRNAs in the latency-associated-transcript locus of the pseudorabies virus affects the host response of porcine trigeminal ganglia during established latency.                                                 | J Virol                                         | 2015 | All           
Maternal nutrition induces gene expression changes in fetal muscle and adipose tissues in sheep.                                                                                                                                                                        | BMC Genomics                                    | 2014 | All           
Retinoic acid signalling regulates the development of tonotopically patterned hair cells in the chicken cochlea.                                                                                                                                                        | Nat Commun                                      | 2014 | All           
Age dependent changes in the LPS induced transcriptome of bovine dermal fibroblasts occurs without major changes in the methylome.                                                                                                                                      | BMC Genomics                                    | 2015 | All           
Genome-wide detection and characterization of positive selection in Korean Native Black Pig from Jeju Island.                                                                                                                                                           | BMC Genet                                       | 2015 | All           
Analysis of the Bovine Monocyte-Derived Macrophage Response to Mycobacterium avium Subspecies Paratuberculosis Infection Using RNA-seq.                                                                                                                                 | Front Immunol                                   | 2015 | All           
Epidermolysis bullosa in Danish Hereford calves is caused by a deletion in LAMC2 gene.                                                                                                                                                                                  | BMC Vet Res                                     | 2015 | All           
Transcriptomic analysis of hepatic responses to testosterone deficiency in miniature pigs fed a high-cholesterol diet.                                                                                                                                                  | BMC Genomics                                    | 2015 | All           
